iter	RMSE
0	0.4907363483
1	0.4850118564
2	0.4787566844
3	0.4735198487
4	0.4698132566
5	0.4667102788
6	0.4641230837
7	0.4604304345
8	0.4584173939
9	0.4564161329
10	0.4548735333
11	0.4531851391
12	0.4523070664
13	0.4509155953
14	0.4496902402
15	0.4486950035
16	0.4477495385
17	0.447021475
18	0.4461403662
19	0.4456320389
20	0.4450145003
21	0.4445059014
22	0.4440524417
23	0.4433181907
24	0.442996957
25	0.4426826413
26	0.442102658
27	0.4412430441
28	0.4407796664
29	0.4404840378
30	0.4400957588
31	0.4397476208
32	0.4395067042
33	0.4392742119
34	0.438979624
35	0.4388326055
36	0.4384844237
37	0.4378168141
38	0.4375262698
39	0.4370963992
40	0.4366921462
41	0.4364234268
42	0.436224044
43	0.4359952851
44	0.4355255139
45	0.4352586598
46	0.4351178978
47	0.4349564195
48	0.4347200654
49	0.4344666391
